00001 A00     0 Cholera                                                      Cholera
04891 E8581   1 Light chain (AL) amyloidosis                                 Light chain (AL) amyloidosis
04892 E8582   1 Wild-type transthyretin-related (ATTR) amyloidosis           Wild-type transthyretin-related (ATTR) amyloidosis
04893 E8589   1 Other amyloidosis                                            Other amyloidosis
04894 E859    1 Amyloidosis, unspecified                                     Amyloidosis, unspecified
04895 E86     0 Volume depletion                                             Volume depletion
04896 E860    1 Dehydration                                                  Dehydration
04897 E861    1 Hypovolemia                                                  Hypovolemia
04898 E869    1 Volume depletion, unspecified                                Volume depletion, unspecified
04899 E87     0 Other disorders of fluid, electrolyte and acid-base balance  Other disorders of fluid, electrolyte and acid-base balance
04900 E870    1 Hyperosmolality and hypernatremia                            Hyperosmolality and hypernatremia
04901 E871    1 Hypo-osmolality and hyponatremia                             Hypo-osmolality and hyponatremia
04902 E872    1 Acidosis                                                     Acidosis
04903 E873    1 Alkalosis                                                    Alkalosis
04904 E874    1 Mixed disorder of acid-base balance                          Mixed disorder of acid-base balance
04905 E875    1 Hyperkalemia                                                 Hyperkalemia
04906 E876    1 Hypokalemia                                                  Hypokalemia
04907 E877    0 Fluid overload                                               Fluid overload
04908 E8770   1 Fluid overload, unspecified                                  Fluid overload, unspecified
04909 E8771   1 Transfusion associated circulatory overload                  Transfusion associated circulatory overload
04910 E8779   1 Other fluid overload                                         Other fluid overload
04911 E878    1 Oth disorders of electrolyte and fluid balance, NEC          Other disorders of electrolyte and fluid balance, not elsewhere classified
04912 E88     0 Other and unspecified metabolic disorders                    Other and unspecified metabolic disorders
04913 E880    0 Disorders of plasma-protein metabolism, NEC                  Disorders of plasma-protein metabolism, not elsewhere classified
04914 E8801   1 Alpha-1-antitrypsin deficiency                               Alpha-1-antitrypsin deficiency
04915 E8802   1 Plasminogen deficiency                                       Plasminogen deficiency
04916 E8809   1 Oth disorders of plasma-protein metabolism, NEC              Other disorders of plasma-protein metabolism, not elsewhere classified
04917 E881    1 Lipodystrophy, not elsewhere classified                      Lipodystrophy, not elsewhere classified
04918 E882    1 Lipomatosis, not elsewhere classified                        Lipomatosis, not elsewhere classified
04919 E883    1 Tumor lysis syndrome                                         Tumor lysis syndrome
04920 E884    0 Mitochondrial metabolism disorders                           Mitochondrial metabolism disorders
04921 E8840   1 Mitochondrial metabolism disorder, unspecified               Mitochondrial metabolism disorder, unspecified
04922 E8841   1 MELAS syndrome                                               MELAS syndrome
04923 E8842   1 MERRF syndrome                                               MERRF syndrome
04924 E8849   1 Other mitochondrial metabolism disorders                     Other mitochondrial metabolism disorders
04925 E888    0 Other specified metabolic disorders                          Other specified metabolic disorders
04926 E8881   1 Metabolic syndrome                                           Metabolic syndrome
04927 E8889   1 Other specified metabolic disorders                          Other specified metabolic disorders
04928 E889    1 Metabolic disorder, unspecified                              Metabolic disorder, unspecified
04929 E89     0 Postproc endocrine and metabolic comp and disorders, NEC     Postprocedural endocrine and metabolic complications and disorders, not elsewhere classified
04930 E890    1 Postprocedural hypothyroidism                                Postprocedural hypothyroidism
04931 E891    1 Postprocedural hypoinsulinemia                               Postprocedural hypoinsulinemia
04932 E892    1 Postprocedural hypoparathyroidism                            Postprocedural hypoparathyroidism
04933 E893    1 Postprocedural hypopituitarism                               Postprocedural hypopituitarism
04934 E894    0 Postprocedural ovarian failure                               Postprocedural ovarian failure
04935 E8940   1 Asymptomatic postprocedural ovarian failure                  Asymptomatic postprocedural ovarian failure
04936 E8941   1 Symptomatic postprocedural ovarian failure                   Symptomatic postprocedural ovarian failure
04937 E895    1 Postprocedural testicular hypofunction                       Postprocedural testicular hypofunction
04938 E896    1 Postprocedural adrenocortical (-medullary) hypofunction      Postprocedural adrenocortical (-medullary) hypofunction
04939 E898    0 Oth postproc endocrine and metabolic comp and disorders      Other postprocedural endocrine and metabolic complications and disorders
04940 E8981   0 Postproc hemorrhage of an endo sys org following a procedure Postprocedural hemorrhage of an endocrine system organ or structure following a procedure
04941 E89810  1 Postproc hemor of an endo sys org fol an endo sys procedure  Postprocedural hemorrhage of an endocrine system organ or structure following an endocrine system procedure
